,prediction_id,truth_id,IoU,match
0,0,0,0.0,False
1,1,1,0.0,False
2,2,2,0.0,False
3,3,3,0.0,False
4,4,4,0.0,False
5,5,5,0.0,False
6,6,6,0.0,False
7,7,7,0.0,False
8,8,8,0.0,False
9,9,9,0.0,False
10,10,10,0.0,False
11,11,11,0.0,False
12,12,12,0.0,False
13,13,13,0.0,False
14,14,14,0.0,False
15,15,15,0.0,False
16,16,16,0.0,False
17,17,17,0.0,False
18,18,18,0.0,False
19,19,19,0.0,False
20,20,20,0.0,False
21,21,21,0.0,False
22,22,22,0.0,False
23,23,23,0.0,False
24,24,24,0.0,False
25,25,25,0.0,False
26,26,26,0.0,False
27,27,27,0.0,False
28,28,28,0.0,False
29,29,29,0.0,False
30,30,30,0.0,False
31,31,31,0.0,False
32,32,32,0.0,False
33,33,33,0.0,False
34,34,34,0.0,False
35,35,35,0.0,False
36,36,36,0.0,False
37,37,37,0.0,False
38,38,38,0.0,False
39,39,39,0.0,False
40,40,40,0.0,False
41,41,41,0.0,False
42,42,42,0.0,False
43,43,43,0.0,False
44,44,44,0.0,False
45,45,45,0.0,False
46,46,46,0.0,False
47,47,47,0.0,False
48,48,48,0.0,False
49,49,49,0.0,False
50,50,50,0.0,False
51,51,51,0.0,False
52,52,52,0.0,False
53,53,53,0.0,False
54,54,54,0.0,False
55,55,55,0.0,False
56,56,56,0.0,False
57,57,57,0.0,False
58,58,58,0.0,False
59,59,59,0.0,False
60,60,60,0.0,False
61,61,61,0.0,False
62,62,62,0.0,False
63,63,63,0.0,False
64,64,64,0.0,False
65,65,65,0.0,False
66,66,66,0.0,False
67,67,67,0.0,False
68,68,68,0.0,False
69,69,69,0.0,False
70,70,70,0.0,False
71,71,71,0.0,False
72,72,72,0.0,False
73,73,73,0.0,False
74,74,74,0.0,False
75,75,75,0.0,False
76,76,76,0.0,False
77,77,77,0.0,False
78,78,78,0.0,False
79,79,79,0.0,False
80,80,80,0.0,False
81,81,81,0.0,False
82,82,82,0.0,False
83,83,83,0.0,False
84,84,84,0.0,False
85,85,85,0.0,False
86,86,86,0.0,False
87,87,87,0.0,False
88,88,88,0.0,False
89,89,89,0.0,False
90,90,90,0.0,False
91,91,91,0.0,False
92,92,92,0.0,False
93,93,93,0.0,False
94,94,94,0.0,False
95,95,95,0.0,False
96,96,96,0.0,False
97,97,97,0.0,False
98,98,98,0.0,False
99,99,99,0.0,False
100,100,100,0.0,False
101,101,101,0.0,False
102,102,102,0.0,False
103,103,103,0.0,False
104,104,104,0.0,False
105,105,105,0.0,False
106,106,106,0.0,False
107,107,107,0.0,False
108,108,108,0.0,False
109,109,109,0.0,False
110,110,110,0.0,False
111,111,111,0.0,False
112,112,112,0.0,False
113,113,113,0.0,False
114,114,114,0.0,False
115,115,115,0.0,False
116,116,116,0.0,False
117,117,117,0.0,False
118,118,118,0.0,False
119,119,119,0.0,False
120,120,120,0.0,False
121,121,121,0.0,False
122,122,122,0.0,False
123,123,123,0.0,False
124,124,124,0.0,False
